case,symbol,block_rms_error,filtered_mean_error
"Digital, residual clock only",6880,650.8350549486406,672.4482478113474
"Digital, residual clock only",7040,521.1674934701895,627.064021509
"Digital, residual clock only",7200,561.9440363594937,607.5280259641481
"Digital, residual clock only",7360,505.8705985724017,577.0307977466242
"Digital, residual clock only",7520,475.2035616449018,546.4826269161075
"Digital, residual clock only",7680,396.8463808578831,501.5917530986402
"Digital, residual clock only",7840,376.78354197071826,464.14928976026357
"Digital, residual clock only",8000,362.0261558230289,433.5123495790932
"Digital, residual clock only",8160,311.98854145625285,397.0552071422411
"Digital, residual clock only",8320,304.1896406848859,369.1955372050345
"Digital, residual clock only",8480,291.01618296926375,345.7417309343033
"Digital, residual clock only",8640,227.94379789763968,310.40235102330416
"Digital, residual clock only",8800,250.82588582520745,292.52941146387514
"Digital, residual clock only",8960,224.79993883451124,272.210569675066
"Digital, residual clock only",9120,228.95275167597353,259.2332242753383
"Digital, residual clock only",9280,202.18498646041945,242.11875293086263
"Digital, residual clock only",9440,188.993882176117,226.18129170443893
"Digital, residual clock only",9600,189.48822522784891,215.17337176146194
"Digital, residual clock only",9760,211.77606097007282,214.15417852404522
"Digital, residual clock only",9920,205.34216870871896,211.51057557944733
"Measured FIR, synchronous",160,2973.582869410234,892.0748608230703
"Measured FIR, synchronous",320,2861.630575388794,1482.9415751927875
"Measured FIR, synchronous",480,2731.292250245294,1857.4467777085395
"Measured FIR, synchronous",640,2889.7185330062857,2167.1283042978635
"Measured FIR, synchronous",800,2701.9702984581454,2327.580902545948
"Measured FIR, synchronous",960,2920.165362398164,2505.356240501613
"Measured FIR, synchronous",1120,2898.3373800767226,2623.250582374146
"Measured FIR, synchronous",1280,2407.9061638174358,2558.6472568071326
"Measured FIR, synchronous",1440,1611.477827182242,2274.4964279196656
"Measured FIR, synchronous",1600,1803.6533532666415,2133.2435055237584
"Measured FIR, synchronous",1760,1873.2913498038686,2055.2578588077913
"Measured FIR, synchronous",1920,1871.2350517105006,2000.051016678604
"Measured FIR, synchronous",2080,1669.3711540577187,1900.8470578923384
"Measured FIR, synchronous",2240,415.12244428602025,1455.129673810443
"Measured FIR, synchronous",2400,382.9811108266307,1133.4851049152992
"Measured FIR, synchronous",2560,290.883557029269,880.7046405494901
"Measured FIR, synchronous",2720,262.5552917958425,695.2598359233958
"Measured FIR, synchronous",2880,192.9672251964048,544.5720527052985
"Measured FIR, synchronous",3040,217.29083333173537,446.38768689322956
"Measured FIR, synchronous",3200,185.9503461948915,368.2564846837281
"Measured FIR, synchronous",3360,164.7657807313157,307.2092734980044
"Measured FIR, synchronous",3520,232.59414760479248,284.8247357300408
"Measured FIR, synchronous",3680,173.6380754615761,251.46873764950138
"Measured FIR, synchronous",3840,204.25038249658186,237.30323110362554
"Measured FIR, synchronous",4000,185.97083104616163,221.90351108638635
"Measured FIR, synchronous",4160,189.7039469805518,212.24364185463597
"Measured FIR, synchronous",4320,168.1317377832038,199.0100706332063
"Measured FIR, synchronous",4480,198.84442725407217,198.96037761946607
"Measured FIR, synchronous",4640,208.7948754160408,201.91072695843852
"Measured FIR, synchronous",4800,214.49334197126026,205.68551146228504
"Measured FIR, synchronous",4960,167.77188754377175,194.31142428673104
"Measured FIR, synchronous",5120,185.8038280014704,191.75914540115286
"Measured FIR, synchronous",5280,189.3810642593393,191.04572105860882
"Measured FIR, synchronous",5440,209.59647241783438,196.6109464663765
"Measured FIR, synchronous",5600,202.55767697127652,198.3949656178465
