path,frequency_hz,q25_db_rel_3600,median_db_rel_3600,q75_db_rel_3600
SIP D/A-A/D,52.24609375,-26.598239989718817,-25.584294801968298,-23.964126774223583
SIP D/A-A/D,52.734375,-26.385749306256063,-25.51612007652507,-23.912593652155095
SIP D/A-A/D,53.22265625,-26.189689565494504,-25.387940720674784,-23.85906477069445
SIP D/A-A/D,53.7109375,-25.97069629869897,-25.133834060203824,-23.803504071841385
SIP D/A-A/D,54.19921875,-26.03104484428073,-24.885698441307294,-23.745878199278927
SIP D/A-A/D,54.6875,-25.767671845344534,-24.635103059515096,-23.660386370691434
SIP D/A-A/D,55.17578125,-25.420203914251427,-24.44848267056038,-23.606599699366537
SIP D/A-A/D,55.6640625,-25.297857971161424,-24.31281613596544,-23.5680924697603
SIP D/A-A/D,56.15234375,-25.21584585527422,-24.18228977338569,-23.50253813111792
SIP D/A-A/D,56.640625,-25.130104427866463,-24.04669588492109,-23.425814926684215
SIP D/A-A/D,57.12890625,-25.040662954344004,-23.94359958158292,-23.35527032352603
SIP D/A-A/D,57.6171875,-24.947561100078783,-23.846447889297906,-23.17097931705872
SIP D/A-A/D,58.10546875,-24.850848589733207,-23.640874040353165,-22.945140104871122
SIP D/A-A/D,58.59375,-24.71865449484483,-23.58834425259987,-22.761509783717283
SIP D/A-A/D,59.08203125,-24.525179075339658,-23.53042889077064,-22.618047011055186
SIP D/A-A/D,59.5703125,-24.33305917140406,-23.447910064901127,-22.476117323153375
SIP D/A-A/D,60.05859375,-24.232351636260958,-23.31089334130898,-22.28636060544399
SIP D/A-A/D,60.546875,-24.130293758518214,-23.18058388369143,-22.19675892283868
SIP D/A-A/D,61.03515625,-24.02622485644862,-23.112294660462027,-22.045886688981508
SIP D/A-A/D,61.5234375,-23.920551151352882,-22.94013690359703,-21.87403533727851
SIP D/A-A/D,62.01171875,-23.812944350246795,-22.769054487138085,-21.788570542258906
SIP D/A-A/D,62.5,-23.703568113495898,-22.59905019327907,-21.655285876473307
SIP D/A-A/D,62.98828125,-23.592464656466674,-22.43012429388458,-21.523339877218362
SIP D/A-A/D,63.4765625,-23.470126142382668,-22.262274831139138,-21.413697008454676
SIP D/A-A/D,63.96484375,-23.34412733205666,-22.157229462898343,-21.365053757160418
SIP D/A-A/D,64.453125,-23.249228972074228,-22.03537113779043,-21.303352544674176
SIP D/A-A/D,64.94140625,-23.134429000444854,-21.930190443657654,-21.154284542621575
SIP D/A-A/D,65.4296875,-22.979979391068873,-21.824404106951413,-21.006453964633216
SIP D/A-A/D,65.91796875,-22.762940071921733,-21.716159387448034,-20.85982852821535
SIP D/A-A/D,66.40625,-22.5827908562139,-21.606139035561505,-20.71437640198254
SIP D/A-A/D,66.89453125,-22.436674896454125,-21.49439433492711,-20.570066231436442
SIP D/A-A/D,67.3828125,-22.291113750510906,-21.380978242573306,-20.426867161151804
SIP D/A-A/D,67.87109375,-22.146118620339802,-21.26594517905345,-20.28474885379166
SIP D/A-A/D,68.359375,-22.074319913733248,-21.14935082001335,-20.15107355283504
SIP D/A-A/D,68.84765625,-21.998362298651823,-21.031251890663217,-20.03432590501286
SIP D/A-A/D,69.3359375,-21.9567249676514,-20.887688327476894,-19.976663584686584
SIP D/A-A/D,69.82421875,-21.881243963613272,-20.736028692293743,-19.855171929568474
SIP D/A-A/D,70.3125,-21.749789625156936,-20.586159428942437,-19.714349728225038
SIP D/A-A/D,70.80078125,-21.61736112757565,-20.49168610527675,-19.575338997917527
SIP D/A-A/D,71.2890625,-21.48400551754635,-20.413825229329063,-19.453581747608403
SIP D/A-A/D,71.77734375,-21.349769369936944,-20.294321746075262,-19.34013887349347
SIP D/A-A/D,72.265625,-21.214698730012252,-20.144571723168724,-19.21752996326552
SIP D/A-A/D,72.75390625,-21.07883906012684,-19.96587690449659,-19.075882876273923
SIP D/A-A/D,73.2421875,-20.914821653055974,-19.822247720740723,-18.935558957849498
SIP D/A-A/D,73.73046875,-20.740150254167034,-19.69722962182788,-18.79652015274484
SIP D/A-A/D,74.21875,-20.62214508255432,-19.526851822739836,-18.672343146708727
SIP D/A-A/D,74.70703125,-20.502484533110824,-19.3585436183227,-18.55237946484153
SIP D/A-A/D,75.1953125,-20.38122317115809,-19.202682319492137,-18.43256827846991
SIP D/A-A/D,75.68359375,-20.249572439153596,-19.087352564190557,-18.312905342695252
SIP D/A-A/D,76.171875,-20.109404348749223,-19.000964014205934,-18.17028959056217
